#{"t_start": 1764833065.330055, "env_id": "None"}
r,l,t
20.55944,5,11.865936
20.088213,5,11.870557
1.690028,4,11.874963
20.711584,5,11.87957
1.545149,4,11.883254
1.132925,4,23.454185
1.628769,4,23.458022
38.67012,6,23.46331
19.557743,5,23.467852
21.031079,5,23.47266
14.858804,5,34.325029
18.20962,5,34.329467
20.666234,5,34.334416
0.772935,4,34.338689
0.705435,4,34.342533
100.616046,9,46.535631
1.321698,4,46.539685
297.311913,15,46.553949
-0.543846,4,46.557628
0.876169,4,46.56156
134.712897,11,57.113371
22.205131,5,57.118351
0.668635,4,57.122172
1.278234,4,57.126165
0.345109,4,57.129883
159.475076,12,67.818207
200.063992,14,67.83158
77.508431,8,67.839192
159.49143,12,67.850741
80.287721,8,67.858499
156.605541,12,78.648155
98.649795,9,78.656641
196.039925,14,78.669531
41.690826,6,78.678124
139.038156,11,78.688135
179.323635,13,89.47163
98.583692,9,89.480107
81.588249,8,89.487867
60.964824,7,89.494525
39.694018,6,89.5001
297.104477,15,101.119079
101.244814,9,101.127898
198.013525,14,101.141092
80.002146,8,101.148587
121.222589,10,101.15827
78.924885,8,111.973594
140.133031,11,111.984009
140.516526,11,111.994324
297.183288,15,112.008474
116.380909,10,112.017422
39.904494,6,122.651827
41.262318,6,122.657649
120.415411,10,122.666956
297.732491,15,122.680941
40.356721,6,122.68642
19.124261,5,133.30208
160.181355,12,133.313314
77.782124,8,133.320335
179.831551,13,133.332478
219.17729,15,133.346696
100.752994,9,143.952555
41.769744,6,143.95846
61.217103,7,143.965222
295.903277,15,143.980252
80.464004,8,143.987824
180.702053,13,154.63767
101.33924,9,154.646179
61.526314,7,154.652904
156.369038,12,154.663774
99.944747,9,154.672033
80.299128,8,165.74055
60.996634,7,165.74731
296.893199,15,165.761633
138.366576,11,165.77187
296.815326,15,165.786291
41.358062,6,176.447573
100.660432,9,176.456125
21.827413,5,176.461077
40.582113,6,176.466647
101.23371,9,176.475372
2.183425,4,187.094911
297.60582,15,187.109351
41.206119,6,187.115122
41.407317,6,187.123425
61.680098,7,187.130194
81.144232,8,197.523717
1.436767,4,197.527501
219.906906,15,197.541313
37.853744,6,197.54657
77.801037,8,197.55372
297.605405,15,208.211359
297.318711,15,208.225484
21.187417,5,208.230419
59.384858,7,208.236688
80.218037,8,208.244173
40.00997,6,219.295626
59.795756,7,219.302518
295.618985,15,219.316776
61.638991,7,219.323528
19.734148,5,219.328163
35.39147,6,229.960486
296.695236,15,229.974695
138.685457,11,229.984814
78.298892,8,229.992167
196.642189,14,230.004771
21.521131,5,240.676236
0.386296,4,240.679881
198.75523,14,240.692607
159.164672,12,240.703501
297.012631,15,240.717642
117.980013,10,252.039691
297.151949,15,252.053944
297.277548,15,252.070228
22.101818,5,252.075157
99.338537,9,252.083414
0.296539,4,262.80269
158.5034,12,262.813718
60.58969,7,262.820479
297.63638,15,262.834717
21.844541,5,262.839681
297.509998,15,273.455908
21.998167,5,273.460866
120.92377,10,273.470261
40.421022,6,273.476428
60.314911,7,273.483117
121.240048,10,284.579543
179.84245,13,284.5916
80.393592,8,284.598924
217.782854,15,284.612384
179.529965,13,284.624341
138.143372,11,295.279162
297.511243,15,295.29359
97.026186,9,295.301871
80.934107,8,295.309467
22.362237,5,295.314454
196.755821,14,305.942511
297.297604,15,305.956659
60.034595,7,305.963284
59.193423,7,305.969724
157.565502,12,305.981192
118.622643,10,316.610633
98.127367,9,316.618675
139.855251,11,316.628793
21.690703,5,316.633569
57.949058,7,316.639902
81.70102,8,327.257531
20.88988,5,327.262354
75.017786,8,327.269549
297.848221,15,327.283802
98.752299,9,327.292184
2.797675,4,337.896879
297.251773,15,337.911076
295.30987,15,337.925308
21.588042,5,337.930143
39.313602,6,337.935539
37.535628,6,349.104189
296.968407,15,349.118606
217.627561,15,349.132516
61.634952,7,349.139496
100.848648,9,349.148045
296.884871,15,359.876717
20.656962,5,359.881514
296.789288,15,359.895559
39.539437,6,359.901032
57.336218,7,359.907274
41.318089,6,370.522764
59.080582,7,370.529325
297.101014,15,370.543745
80.887233,8,370.551319
81.48928,8,370.561671
174.631649,13,381.072675
40.06548,6,381.078301
218.157877,15,381.092182
100.228295,9,381.100693
38.703901,6,381.106165
39.724447,6,391.754852
40.279009,6,391.760332
159.445671,12,391.771428
140.03692,11,391.781603
297.949389,15,391.795787
37.375428,6,402.845885
58.564625,7,402.852429
294.873466,15,402.866686
41.109953,6,402.872394
217.429232,15,402.886011
297.469162,15,414.908391
0.86833,4,414.913732
37.286359,6,414.918936
297.204046,15,414.932931
0.567339,4,414.936513
