#{"t_start": 1765357529.258803, "env_id": "None"}
r,l,t
-56.071331,5,0.529688
42.497581,9,0.53923
-56.444788,5,0.543089
39.961907,9,0.549496
-59.58091,5,0.552931
-60.033383,5,0.556371
-55.359946,5,0.560363
-55.56757,5,0.56447
-57.210584,5,0.568292
-7.372471,7,0.573356
-78.711946,4,0.576682
-58.520675,5,0.580324
-78.92524,4,0.583608
92.302536,11,0.591766
-56.216731,5,0.595319
-59.560372,5,0.598729
19.691237,8,0.604929
-55.391294,5,0.608918
-59.840234,5,0.612394
-55.671915,5,0.616425
-6.811946,7,0.621668
-7.6243,7,0.626881
-6.690073,7,0.632079
15.313093,8,0.637785
-59.510496,5,0.641222
-9.226931,7,0.646072
-58.580688,5,0.649614
-78.624918,4,0.654855
-58.197034,5,0.658465
-56.290999,5,0.661989
19.706277,8,0.668255
-56.372919,5,0.671954
-10.124237,7,0.676901
-58.833893,5,0.680456
-58.508919,5,0.684032
-59.574802,5,0.688015
-56.467467,5,0.69165
-58.479748,5,0.695263
-78.595917,4,0.698777
-57.045977,5,0.702479
-78.827508,4,0.705637
-6.305097,7,0.711059
-10.911768,7,0.716385
-9.992142,7,0.721678
-58.702391,5,0.725693
-9.994533,7,0.731017
-78.78358,4,0.734539
89.353022,11,0.742441
-78.616955,4,0.745719
-57.169075,5,0.749523
20.373958,8,0.755778
-29.882816,6,0.856628
-10.780372,7,0.861644
-58.485013,5,0.86521
-9.879973,7,0.871996
-7.385296,7,0.877406
90.291269,11,0.88555
-57.135195,5,0.889197
-59.513342,5,0.892857
-78.920836,4,0.896094
-58.59244,5,0.899607
39.654395,9,0.906019
-58.185938,5,0.90952
-58.492787,5,0.91305
-78.66255,4,0.91646
-7.999194,7,0.921505
-78.656255,4,0.924763
-10.009927,7,0.929693
-58.273884,5,0.93327
39.852164,9,0.939794
-60.080578,5,0.943346
90.988175,11,0.951594
-56.281042,5,0.955226
-58.403048,5,0.958774
-57.008793,5,0.96242
-59.529763,5,0.965841
-78.874735,4,0.969064
-7.61656,7,0.974246
88.694275,11,0.982209
-78.822483,4,0.985434
-6.835994,7,0.990567
-59.740793,5,0.99386
69.300679,10,1.001325
39.581782,9,1.007727
-58.252572,5,1.011298
-58.874359,5,1.014878
-79.193467,4,1.018142
-57.12786,5,1.02182
-56.343734,5,1.025431
-56.1961,5,1.028954
-78.776941,4,1.032153
-56.070848,5,1.035762
-29.353111,6,1.040441
-9.912435,7,1.045244
-78.833768,4,1.048373
-6.760874,7,1.053491
-29.649411,6,1.058255
-6.412923,7,1.063651
-58.777277,5,1.06729
-60.201173,5,1.07073
-79.220269,4,1.074038
-78.773191,4,1.118656
-55.693607,5,1.122708
-78.655111,4,1.126016
-29.244377,6,1.130749
-79.303473,4,1.134106
-9.965776,7,1.139047
-57.210068,5,1.142714
42.290647,9,1.149413
-5.843448,7,1.154984
-78.855058,4,1.15826
69.318027,10,1.166708
39.607918,9,1.173328
-55.453665,5,1.177539
-56.274993,5,1.181206
-55.696989,5,1.185246
-56.89209,5,1.188846
-59.213625,5,1.192299
-29.382186,6,1.19696
-55.362733,5,1.201444
-56.571022,5,1.205082
-29.314597,6,1.209845
-56.059,5,1.213343
-58.63057,5,1.216833
-55.272448,5,1.220669
43.19262,9,1.227474
-10.218337,7,1.232426
-58.350372,5,1.236045
39.500527,9,1.242541
-58.239592,5,1.246122
-59.994056,5,1.249543
-29.610238,6,1.254326
-56.362615,5,1.258093
-79.223024,4,1.261394
-57.043196,5,1.265106
-6.925658,7,1.270272
-6.875742,7,1.275408
92.019936,11,1.283746
-58.193951,5,1.287448
-59.92014,5,1.290986
-58.283913,5,1.294334
-56.418126,5,1.29802
-78.843115,4,1.30132
19.567277,8,1.307613
-58.34269,5,1.311117
-60.117736,5,1.31455
-58.884664,5,1.318194
19.770299,8,1.324439
-56.35716,5,1.327926
-58.981237,5,1.331557
-6.081909,7,1.337036
-59.285227,5,1.3405
-6.854846,7,1.386941
20.149698,8,1.393205
-6.94265,7,1.398406
-59.983545,5,1.401889
-78.926434,4,1.405138
20.135041,8,1.411309
-10.02302,7,1.4164
-78.7225,4,1.419637
-56.802641,5,1.423338
-9.88978,7,1.428748
-56.938648,5,1.432837
-6.787274,7,1.438041
43.198258,9,1.445111
-78.679982,4,1.448367
-60.041156,5,1.451801
19.534321,8,1.458053
-55.478252,5,1.461833
-7.134539,7,1.467037
-78.662537,4,1.470289
-29.394468,6,1.475147
91.333364,11,1.483409
-59.409634,5,1.486886
-59.721813,5,1.490341
-78.776087,4,1.493651
-59.708992,5,1.498947
-6.409669,7,1.504418
-78.969336,4,1.507688
-59.537817,5,1.511132
19.586289,8,1.517454
-5.828821,7,1.522837
41.636562,9,1.529461
-8.071211,7,1.534718
-78.858393,4,1.53792
42.497077,9,1.544749
-56.239471,5,1.548414
42.189806,9,1.555204
41.864018,9,1.561872
41.927051,9,1.568573
-60.222666,5,1.572834
-56.614732,5,1.576435
-58.480827,5,1.579957
39.354896,9,1.586378
-6.693263,7,1.594637
-29.526871,6,1.59936
-29.550102,6,1.604082
-58.151093,5,1.607744
-57.001314,5,1.611273
-57.080205,5,1.614962
68.839477,10,1.664078
-29.681316,6,1.668945
-59.737536,5,1.672453
-56.588027,5,1.67618
-78.886266,4,1.679455
-78.883767,4,1.682663
-58.210265,5,1.686307
-59.554773,5,1.689721
-29.372409,6,1.694422
-57.016831,5,1.698081
-55.613367,5,1.702041
-60.151017,5,1.705488
-58.658287,5,1.709172
-60.258933,5,1.712613
-6.644441,7,1.71772
-10.007867,7,1.722822
-56.794246,5,1.726516
-6.43131,7,1.731925
19.810571,8,1.738879
-59.533587,5,1.742768
-9.724435,7,1.747846
-58.222051,5,1.751508
-59.595755,5,1.754994
-55.645461,5,1.759021
-59.036043,5,1.762547
-79.224384,4,1.765904
88.329594,11,1.773836
-55.628915,5,1.777934
-78.77624,4,1.781237
-78.726403,4,1.784544
-78.796895,4,1.787808
-59.338945,5,1.791411
20.177085,8,1.797644
-58.412262,5,1.801256
-59.765268,5,1.804683
-55.639439,5,1.808812
-6.609113,7,1.814025
41.71464,9,1.820703
-6.117586,7,1.826119
-29.793092,6,1.833039
-57.090932,5,1.836729
-6.973177,7,1.841863
-60.304584,5,1.846721
43.614551,9,1.853701
-10.755351,7,1.858757
-57.086075,5,1.862501
-59.875653,5,1.865906
42.479292,9,1.87252
-59.836072,5,1.87607
-6.23627,7,1.883661
-60.300195,5,1.887117
-55.346271,5,1.933681
-59.651639,5,1.937274
-56.984821,5,1.941122
-58.295037,5,1.944881
-78.803381,4,1.948248
-9.758592,7,1.953224
-55.469804,5,1.957147
-57.140977,5,1.961016
-56.170795,5,1.964569
-60.377782,5,1.968057
-59.842294,5,1.971533
-6.759941,7,1.97673
20.137309,8,1.982918
-59.358784,5,1.986381
-29.323738,6,1.991335
-78.917787,4,1.994597
-58.366717,5,1.998258
-78.791748,4,2.001481
-56.127584,5,2.005168
-56.636318,5,2.00899
-58.31987,5,2.012638
-59.638986,5,2.016187
-58.563103,5,2.019927
-56.363986,5,2.023687
-78.647122,4,2.027
-56.290055,5,2.030694
-4.938645,7,2.036204
18.533522,8,2.042602
-56.299809,5,2.046228
-56.449195,5,2.049762
-9.555742,7,2.054852
-56.796945,5,2.058472
-57.208714,5,2.062152
-59.123674,5,2.065774
-29.27169,6,2.070555
42.299589,9,2.077353
-56.091155,5,2.080913
-56.11969,5,2.084604
-6.197417,7,2.091044
-5.78864,7,2.096471
-9.101726,7,2.101566
-29.410794,6,2.106322
-55.265096,5,2.110242
-6.98111,7,2.115647
-57.177374,5,2.119361
-78.753726,4,2.122631
19.967584,8,2.128833
-29.56155,6,2.133511
-6.905838,7,2.138624
-58.037575,5,2.142227
-58.52924,5,2.14586
-78.827166,4,2.14909
-56.367327,5,2.15265
-78.822262,4,2.155875
-9.636168,7,2.202607
-78.963381,4,2.20597
43.415581,9,2.213015
-55.536813,5,2.217108
-58.176001,5,2.220943
43.05635,9,2.230013
-10.796993,7,2.235065
-78.831744,4,2.238362
42.610437,9,2.245141
43.498031,9,2.25196
-59.282398,5,2.256819
19.912742,8,2.263075
19.84485,8,2.269407
39.517031,9,2.275941
-9.766887,7,2.281144
-59.346453,5,2.28466
-56.222241,5,2.288322
-56.743854,5,2.292009
-59.45319,5,2.295432
41.833407,9,2.302085
-6.662887,7,2.307471
-58.792324,5,2.31125
-79.225359,4,2.314659
-78.773365,4,2.318003
38.694586,9,2.324706
-56.000672,5,2.328365
-57.067344,5,2.332057
-78.825966,4,2.335307
-58.122282,5,2.338915
-58.605968,5,2.342708
-6.369409,7,2.348062
-78.884097,4,2.351341
-6.184556,7,2.356834
-29.422285,6,2.362021
-56.407166,5,2.365902
-58.446935,5,2.369721
-6.267211,7,2.375528
-78.730417,4,2.37976
-56.957953,5,2.383608
-7.107403,7,2.388963
-60.555071,5,2.392671
-56.610561,5,2.396867
-29.531027,6,2.40179
-79.013549,4,2.405121
-56.234875,5,2.409064
-58.515516,5,2.412813
69.538141,10,2.420653
-56.416056,5,2.424465
-56.439953,5,2.428164
-58.102837,5,2.431853
-78.711986,4,2.435221
-59.216861,5,2.481528
-56.946913,5,2.485216
-55.628109,5,2.489213
-9.462636,7,2.49438
-58.310212,5,2.498116
-9.846142,7,2.503218
137.859172,13,2.512944
-6.698027,7,2.518147
38.779847,9,2.524645
-57.064477,5,2.528323
-6.480549,7,2.533512
-78.707124,4,2.536757
-78.74788,4,2.540017
38.239794,9,2.546474
-60.323475,5,2.549923
-56.388789,5,2.553634
-7.12523,7,2.558727
-58.042979,5,2.562349
-6.049599,7,2.567708
-58.839803,5,2.571312
-29.359058,6,2.576004
-6.424391,7,2.581364
-56.411793,5,2.584981
-78.856785,4,2.58816
-57.033576,5,2.591848
