#{"t_start": 1765387522.269933, "env_id": "None"}
r,l,t
-31.240402,15,0.769273
-93.001636,11,0.832966
-29.777239,10,0.890073
28.455171,15,0.974391
9.853446,15,1.058378
12.78681,15,1.161633
-55.187291,6,1.234119
25.828712,15,1.318128
-77.902954,8,1.363011
21.098044,15,1.446293
-47.387777,6,1.480366
18.498578,15,1.566127
-25.578988,10,1.621801
-40.386462,8,1.66525
-57.669317,8,1.709855
-6.465506,14,1.787349
-72.763669,12,1.854202
46.396213,15,1.936593
4.433479,15,2.47215
-54.26294,8,2.516447
-9.124592,11,2.578663
-51.977544,12,2.645999
-31.747559,8,2.691483
-57.403597,6,2.723951
-40.946656,8,2.769657
-56.207339,9,2.820515
-32.7416,15,2.911321
-95.109303,8,2.95608
-45.193296,15,3.042692
-66.839781,9,3.093837
-36.262843,10,3.150048
-34.346861,6,3.193899
37.776979,15,3.279711
31.655609,15,3.365635
1.412171,12,3.433483
26.514232,15,3.517905
-58.015624,5,3.549608
-58.537905,7,3.591623
-34.00574,15,3.685757
-151.632906,10,3.756605
-40.938142,14,4.215323
-16.41103,12,4.284388
-18.994228,11,4.374129
9.404049,15,4.483153
-46.100168,13,4.564021
-8.665699,6,4.599198
-68.131315,12,4.670036
36.387615,15,4.764042
0.155425,15,4.849224
-51.83292,9,4.903834
-22.389582,12,4.975336
28.457792,15,5.066437
-25.977894,5,5.10267
-27.508405,9,5.160581
-25.883475,15,5.253564
-92.022051,12,5.326467
15.454826,15,5.414355
-97.713742,7,5.461478
-45.764561,10,5.527516
-85.743387,8,5.885479
-1.495416,10,5.944145
10.274573,15,6.029779
-8.487927,7,6.070638
-54.414539,5,6.099075
2.766029,15,6.183727
23.910905,15,6.268878
-5.551499,13,6.345081
34.22523,15,6.432386
-21.306419,7,6.472155
2.977102,15,6.56426
-26.42187,14,6.641515
-59.956188,8,6.686943
-44.554486,10,6.742499
38.368861,15,6.830016
-44.038875,9,6.882199
-30.328788,12,6.950671
30.943996,15,7.035333
-8.050867,11,7.101145
-39.777901,14,7.506025
-17.558807,6,7.540763
-67.913923,7,7.580514
-37.328069,7,7.624013
28.040709,15,7.709095
-87.934653,10,7.766314
33.885067,15,7.851284
24.434127,15,7.942171
-63.740788,12,8.010361
37.811729,15,8.09595
14.801567,15,8.182617
-36.246812,9,8.232698
-10.727668,15,8.321567
44.55123,15,8.405873
-26.508457,11,8.468928
-34.929404,6,8.503795
-1.240054,15,8.587682
34.53481,15,8.670881
37.021192,15,8.756063
-9.207934,15,9.154684
-8.801732,13,9.22866
-47.297059,15,9.315394
-25.225834,11,9.378059
-44.889489,10,9.433084
23.46786,15,9.516958
-40.863678,11,9.578748
51.832832,15,9.663558
40.651687,15,9.748872
-35.999762,14,9.828623
4.57186,15,9.91312
-80.414042,13,9.986215
20.125964,15,10.07055
-20.795419,6,10.105447
-28.721053,9,10.157164
-22.418289,6,10.190913
-22.339249,11,10.252974
-6.733501,10,10.311832
15.120161,15,10.703796
-10.110885,9,10.75396
39.703955,15,10.840091
-25.911669,7,10.878738
-26.789782,6,10.912964
26.139553,15,10.99851
-78.977301,8,11.041831
-22.299836,15,11.131175
-26.422243,12,11.199789
-17.225252,15,11.284864
-45.3172,14,11.365004
-17.323818,8,11.411006
26.002235,15,11.495062
-9.883979,11,11.556069
19.200332,15,11.642022
-23.346162,10,11.699844
26.747992,15,11.782475
-49.304561,6,11.81709
43.32665,15,11.900053
22.930519,15,12.29691
-30.64878,8,12.342387
-23.820496,15,12.425825
22.175896,15,12.510709
-2.012011,15,12.595496
-13.368378,13,12.667226
-16.578268,14,12.745294
-19.83641,9,12.795624
-62.137042,8,12.842096
28.176301,15,12.925828
-47.664513,9,12.976533
-33.871316,13,13.048388
-1.912687,13,13.120658
-9.959069,15,13.203838
-6.762409,15,13.2876
-13.868634,9,13.338059
-13.790238,11,13.399261
-43.701201,7,13.438201
-16.774342,15,13.522751
-28.638163,7,13.868044
0.534639,15,13.953178
46.524712,15,14.038229
7.931003,15,14.123564
16.109419,15,14.209091
38.402272,15,14.295231
40.604883,15,14.382854
-0.141809,10,14.441734
-0.820153,15,14.529216
-26.503894,12,14.598223
38.040173,15,14.688958
-12.596624,9,14.741861
15.329101,15,14.829691
-24.453011,10,14.887036
14.209581,15,14.973919
31.047453,15,15.061995
39.885507,15,15.459129
-16.716765,14,15.540005
-7.687012,11,15.603132
9.699895,15,15.688418
-24.09655,9,15.740792
36.252978,15,15.826703
-8.762185,8,15.87263
-33.839078,8,15.918575
-31.678254,7,15.958879
36.144933,15,16.046378
33.170048,15,16.137757
46.874035,15,16.223306
6.629044,15,16.309237
52.735929,15,16.392879
20.359068,15,16.476549
17.606218,15,16.561062
-24.148726,6,16.593671
29.889744,15,16.679215
44.418321,15,17.076159
-23.470515,10,17.135457
43.439877,15,17.22292
43.932008,15,17.312642
5.202285,13,17.387994
-6.898751,8,17.433756
35.646025,15,17.524278
49.127902,15,17.672787
34.176141,15,17.76784
38.666646,15,17.857864
-2.167557,8,17.904205
34.734177,15,17.995113
41.030743,15,18.095484
8.424603,15,18.1897
31.831289,15,18.283308
45.930455,15,18.380658
13.142365,15,18.47729
8.715647,13,18.86461
46.323944,15,18.951943
-7.830404,13,19.026764
45.590945,15,19.113859
35.232551,15,19.201856
45.408963,15,19.289437
29.395955,15,19.375227
20.539888,15,19.46224
26.831066,15,19.548844
19.072387,15,19.634079
45.394134,15,19.719753
43.527023,15,19.806519
46.120504,15,19.892914
26.279608,15,19.97908
33.046253,15,20.066819
38.488693,15,20.461972
39.656431,15,20.549925
-5.760106,11,20.65764
38.468079,15,20.816479
38.839627,15,20.9594
-14.11977,9,21.04427
49.706977,15,21.145725
50.720711,15,21.260149
31.912531,15,21.356153
46.386245,15,21.442431
40.940379,15,21.530418
40.692919,15,21.618053
21.118586,15,21.712006
45.511579,15,21.797819
35.342445,15,21.887864
32.189374,15,21.976686
39.957599,15,22.384116
51.3114,15,22.473484
36.550318,15,22.560149
38.285035,15,22.645546
33.082087,15,22.731583
5.798548,13,22.839832
31.996538,15,22.92698
-7.81605,14,23.005906
33.934193,15,23.091704
34.91957,15,23.179176
27.279303,15,23.264147
34.501933,15,23.348822
26.356935,15,23.434568
25.1734,15,23.520206
44.003234,15,23.604892
49.812294,15,23.99383
38.075626,15,24.079917
0.102695,13,24.154654
29.049165,15,24.240948
25.410343,15,24.326432
34.867102,15,24.412556
41.088137,15,24.498301
43.287802,15,24.583951
27.889793,15,24.669336
42.670298,15,24.754704
44.139499,15,24.840572
33.231361,15,24.92652
46.813239,15,25.012586
43.360838,15,25.098619
38.526472,15,25.185317
13.734534,15,25.573351
33.991931,15,25.659257
24.944659,15,25.744878
40.090419,15,25.83008
51.525533,15,25.915464
49.85898,15,26.000243
48.064231,15,26.085809
41.023706,15,26.171373
40.194818,15,26.257393
46.943469,15,26.34341
50.037803,15,26.429086
43.375775,15,26.514272
42.046806,15,26.599256
46.955128,15,26.68781
37.76193,15,26.771798
34.647346,15,27.172309
40.196373,15,27.258959
48.942495,15,27.344378
47.890416,15,27.430428
44.717011,15,27.515926
43.37815,15,27.600534
47.347489,15,27.684869
39.520432,15,27.770244
42.090052,15,27.855046
38.506686,15,27.94012
38.198668,15,28.024845
38.000437,15,28.109473
36.745422,15,28.197332
52.78541,15,28.282355
35.045678,15,28.367096
46.98186,15,28.754916
53.774683,15,28.841015
49.189415,15,28.926266
25.362053,15,29.014163
43.431111,15,29.100504
38.262561,15,29.186188
44.371604,15,29.272118
44.537452,15,29.35791
51.341559,15,29.44313
49.511001,15,29.528594
50.730937,15,29.613984
32.655004,15,29.699281
43.04852,15,29.784548
45.151549,15,29.870348
38.805919,15,29.955334
38.746629,15,30.343824
38.416042,15,30.430753
37.483728,15,30.517143
47.731651,15,30.604087
44.326137,15,30.690746
-12.68306,9,30.743992
45.477586,15,30.830055
37.175442,15,30.916724
41.275318,15,31.003048
48.489013,15,31.088733
53.038048,15,31.175485
46.544815,15,31.260556
47.257597,15,31.345442
51.860549,15,31.429891
38.411556,15,31.514752
49.762856,15,31.900388
52.539247,15,31.985798
46.208474,15,32.070913
52.814508,15,32.159971
